unix_time,board_vram_bytes,gpu_busy_percent,power_microwatts,temperature_millidegrees,rss_bytes
1789919468.6258397,12776173568,100,326000000,65000,7788228608
1789919469.626514,12776173568,99,322000000,65000,7788228608
1789919470.62742,12776173568,100,326000000,65000,7788228608
1789919471.6281264,12776173568,99,320000000,65000,7788228608
1789919472.6287572,12776173568,100,326000000,65000,7788228608
1789919473.6297662,12776181760,99,321000000,65000,7788228608
1789919474.6303337,12776198144,98,319000000,65000,7788249088
1789919475.631135,12776226816,100,327000000,65000,7788269568
1789919476.6317518,12776222720,99,325000000,65000,7788269568
1789919477.632374,12776222720,100,326000000,65000,7788269568
1789919478.6327841,12776247296,99,323000000,65000,7788298240
1789919479.6337786,12776251392,100,327000000,65000,7788298240
1789919480.6342552,12776247296,99,327000000,65000,7788298240
1789919481.6350408,12776251392,99,322000000,65000,7788298240
1789919482.635807,12776247296,95,308000000,65000,7788298240
1789919483.6364512,12776251392,96,310000000,65000,7788298240
1789919484.6371398,12776308736,97,317000000,65000,7788359680
1789919485.6379476,12776300544,96,310000000,65000,7788359680
1789919486.6387634,12776296448,99,314000000,65000,7788359680
1789919487.6396115,12776312832,99,324000000,65000,7788683264
1789919488.6403177,12776312832,100,326000000,65000,7788683264
1789919489.6411421,12776312832,100,327000000,65000,7788683264
1789919490.6418645,12776312832,99,325000000,65000,7788683264
1789919491.6423469,12776312832,100,326000000,65000,7788683264
1789919492.6435115,12776312832,100,326000000,65000,7788683264
1789919493.6443222,12776333312,100,326000000,65000,7788703744
1789919494.6448176,12776333312,100,326000000,65000,7788703744
1789919495.6453016,12776333312,100,326000000,66000,7788703744
1789919496.6460807,12776333312,99,319000000,65000,7788703744
1789919497.646755,12776333312,99,325000000,65000,7788703744
1789919498.6474586,12776333312,100,326000000,66000,7788703744
1789919499.6481369,12776353792,100,326000000,65000,7789096960
1789919500.6488554,12776353792,100,326000000,66000,7789096960
1789919501.6497967,12776353792,99,322000000,65000,7789096960
1789919502.650488,12776353792,100,326000000,65000,7789096960
1789919503.6511056,12776374272,100,326000000,65000,7793647616
1789919504.6515744,12776374272,99,325000000,65000,7793647616
1789919505.6522467,12776374272,100,326000000,65000,7793647616
1789919506.6527996,12776374272,100,326000000,65000,7793647616
1789919507.6533425,12776374272,100,326000000,65000,7793647616
1789919508.6539617,12776374272,100,327000000,65000,7793647616
1789919509.6550398,12776374272,99,323000000,65000,7793647616
1789919510.6557028,12776374272,99,324000000,65000,7793647616
