run,dataset,calibration,selected_step,lower,upper,n,confidence,accuracy
seed-42,boolq,uncalibrated,3600,0.7333333333333333,0.8,163,0.7651068420043169,0.6503067484662577
seed-42,boolq,uncalibrated,3600,0.8,0.8666666666666667,184,0.8371851602022005,0.6956521739130435
seed-42,boolq,uncalibrated,3600,0.8666666666666667,0.9333333333333333,308,0.9025845536474502,0.7922077922077922
seed-42,boolq,uncalibrated,3600,0.9333333333333333,1.0,2188,0.9854289053324046,0.9159049360146252
seed-42,clevr_attribute,uncalibrated,3600,0.0,0.06666666666666667,0,,
seed-42,clevr_attribute,uncalibrated,3600,0.06666666666666667,0.13333333333333333,0,,
seed-42,clevr_attribute,uncalibrated,3600,0.13333333333333333,0.2,0,,
seed-42,clevr_attribute,uncalibrated,3600,0.2,0.26666666666666666,0,,
seed-42,clevr_attribute,uncalibrated,3600,0.26666666666666666,0.3333333333333333,0,,
seed-42,clevr_attribute,uncalibrated,3600,0.3333333333333333,0.4,0,,
seed-42,clevr_attribute,uncalibrated,3600,0.4,0.4666666666666667,0,,
seed-42,clevr_attribute,uncalibrated,3600,0.4666666666666667,0.5333333333333333,17,0.5155400523181753,0.4117647058823529
seed-42,clevr_attribute,uncalibrated,3600,0.5333333333333333,0.6,39,0.5685601599084882,0.6153846153846154
seed-42,clevr_attribute,uncalibrated,3600,0.6,0.6666666666666666,43,0.6309887541728826,0.5116279069767442
seed-42,clevr_attribute,uncalibrated,3600,0.6666666666666666,0.7333333333333333,36,0.7033888421066824,0.4722222222222222
seed-42,clevr_attribute,uncalibrated,3600,0.7333333333333333,0.8,55,0.7684101887934066,0.5272727272727272
seed-42,clevr_attribute,uncalibrated,3600,0.8,0.8666666666666667,72,0.8346407703813816,0.5
seed-42,clevr_attribute,uncalibrated,3600,0.8666666666666667,0.9333333333333333,114,0.9038135165547727,0.5350877192982456
seed-42,clevr_attribute,uncalibrated,3600,0.9333333333333333,1.0,53358,0.999810674929812,0.9868810675062784
seed-42,clevr_count,uncalibrated,3600,0.0,0.06666666666666667,0,,
seed-42,clevr_count,uncalibrated,3600,0.06666666666666667,0.13333333333333333,0,,
seed-42,clevr_count,uncalibrated,3600,0.13333333333333333,0.2,0,,
seed-42,clevr_count,uncalibrated,3600,0.2,0.26666666666666666,11,0.25537466092562605,0.36363636363636365
