engine,case,questions,repeat,end_to_end_ms,input_shape,allocated_gib,reserved_gib,peak_allocated_gib,peak_reserved_gib,device_free_gib,device_total_gib,telemetry_board_vram_bytes_max,telemetry_board_vram_bytes_mean,telemetry_gpu_busy_percent_max,telemetry_gpu_busy_percent_mean,telemetry_power_microwatts_max,telemetry_power_microwatts_mean,telemetry_rss_bytes_max,telemetry_rss_bytes_mean,telemetry_temperature_millidegrees_max,telemetry_temperature_millidegrees_mean
dohnuts,vision_protocol_text_1q,1,10,14.647970994701609,"[1, 43]",1.6506800651550293,1.734375,1.6536574363708496,1.734375,21.803466796875,23.984375,3292409856,3292409856,99,81.46666666666667,319000000,195666666.66666666,4035325952,4035323767.4666667,64000,55266.666666666664
dohnuts,vision_protocol_text_1q,1,11,14.893104002112523,"[1, 43]",1.6506800651550293,1.734375,1.6536574363708496,1.734375,21.803466796875,23.984375,3292409856,3292409856,99,81.46666666666667,319000000,195666666.66666666,4035325952,4035323767.4666667,64000,55266.666666666664
dohnuts,vision_protocol_text_1q,1,12,14.958287007175386,"[1, 43]",1.6506800651550293,1.734375,1.6536574363708496,1.734375,21.803466796875,23.984375,3292409856,3292409856,99,81.46666666666667,319000000,195666666.66666666,4035325952,4035323767.4666667,64000,55266.666666666664
dohnuts,vision_protocol_text_1q,1,13,14.531560998875648,"[1, 43]",1.6506800651550293,1.734375,1.6536574363708496,1.734375,21.803466796875,23.984375,3292409856,3292409856,99,81.46666666666667,319000000,195666666.66666666,4035325952,4035323767.4666667,64000,55266.666666666664
dohnuts,vision_protocol_text_1q,1,14,14.806099992711097,"[1, 43]",1.6506800651550293,1.734375,1.6536574363708496,1.734375,21.803466796875,23.984375,3292409856,3292409856,99,81.46666666666667,319000000,195666666.66666666,4035325952,4035323767.4666667,64000,55266.666666666664
dohnuts,vision_protocol_text_1q,1,15,15.085146995261312,"[1, 43]",1.6506800651550293,1.734375,1.6536574363708496,1.734375,21.803466796875,23.984375,3292409856,3292409856,99,81.46666666666667,319000000,195666666.66666666,4035325952,4035323767.4666667,64000,55266.666666666664
dohnuts,vision_protocol_text_1q,1,16,15.025494998553768,"[1, 43]",1.6506800651550293,1.734375,1.6536574363708496,1.734375,21.803466796875,23.984375,3292409856,3292409856,99,81.46666666666667,319000000,195666666.66666666,4035325952,4035323767.4666667,64000,55266.666666666664
dohnuts,vision_protocol_text_1q,1,17,14.643823000369594,"[1, 43]",1.6506800651550293,1.734375,1.6536574363708496,1.734375,21.803466796875,23.984375,3292409856,3292409856,99,81.46666666666667,319000000,195666666.66666666,4035325952,4035323767.4666667,64000,55266.666666666664
dohnuts,vision_protocol_text_1q,1,18,15.026156004751101,"[1, 43]",1.6506800651550293,1.734375,1.6536574363708496,1.734375,21.803466796875,23.984375,3292409856,3292409856,99,81.46666666666667,319000000,195666666.66666666,4035325952,4035323767.4666667,64000,55266.666666666664
dohnuts,vision_protocol_text_1q,1,19,15.11721801944077,"[1, 43]",1.6506800651550293,1.734375,1.6536574363708496,1.734375,21.803466796875,23.984375,3292409856,3292409856,99,81.46666666666667,319000000,195666666.66666666,4035325952,4035323767.4666667,64000,55266.666666666664
dohnuts,vision_protocol_text_3q,3,0,15.66122699296102,"[3, 43]",1.6506800651550293,1.73828125,1.6608247756958008,1.73828125,21.785888671875,23.984375,3302903808,3302903808,88,81.375,239000000,223125000,4042543104,4042543104,56000,55562.5
dohnuts,vision_protocol_text_3q,3,1,15.765533986268565,"[3, 43]",1.6506800651550293,1.73828125,1.6608247756958008,1.73828125,21.785888671875,23.984375,3302903808,3302903808,88,81.375,239000000,223125000,4042543104,4042543104,56000,55562.5
dohnuts,vision_protocol_text_3q,3,2,15.705630998127162,"[3, 43]",1.6506800651550293,1.73828125,1.6608247756958008,1.73828125,21.785888671875,23.984375,3302903808,3302903808,88,81.375,239000000,223125000,4042543104,4042543104,56000,55562.5
dohnuts,vision_protocol_text_3q,3,3,15.624367020791396,"[3, 43]",1.6506800651550293,1.73828125,1.6608247756958008,1.73828125,21.785888671875,23.984375,3302903808,3302903808,88,81.375,239000000,223125000,4042543104,4042543104,56000,55562.5
dohnuts,vision_protocol_text_3q,3,4,15.51706501049921,"[3, 43]",1.6506800651550293,1.73828125,1.6608247756958008,1.73828125,21.785888671875,23.984375,3302903808,3302903808,88,81.375,239000000,223125000,4042543104,4042543104,56000,55562.5
dohnuts,vision_protocol_text_3q,3,5,15.702475007856265,"[3, 43]",1.6506800651550293,1.73828125,1.6608247756958008,1.73828125,21.785888671875,23.984375,3302903808,3302903808,88,81.375,239000000,223125000,4042543104,4042543104,56000,55562.5
dohnuts,vision_protocol_text_3q,3,6,15.847159025724977,"[3, 43]",1.6506800651550293,1.73828125,1.6608247756958008,1.73828125,21.785888671875,23.984375,3302903808,3302903808,88,81.375,239000000,223125000,4042543104,4042543104,56000,55562.5
dohnuts,vision_protocol_text_3q,3,7,15.740125993033871,"[3, 43]",1.6506800651550293,1.73828125,1.6608247756958008,1.73828125,21.785888671875,23.984375,3302903808,3302903808,88,81.375,239000000,223125000,4042543104,4042543104,56000,55562.5
dohnuts,vision_protocol_text_3q,3,8,15.525449998676777,"[3, 43]",1.6506800651550293,1.73828125,1.6608247756958008,1.73828125,21.785888671875,23.984375,3302903808,3302903808,88,81.375,239000000,223125000,4042543104,4042543104,56000,55562.5
dohnuts,vision_protocol_text_3q,3,9,15.793817001394928,"[3, 43]",1.6506800651550293,1.73828125,1.6608247756958008,1.73828125,21.785888671875,23.984375,3302903808,3302903808,88,81.375,239000000,223125000,4042543104,4042543104,56000,55562.5
dohnuts,vision_protocol_text_3q,3,10,15.81272401381284,"[3, 43]",1.6506800651550293,1.73828125,1.6608247756958008,1.73828125,21.785888671875,23.984375,3302903808,3302903808,88,81.375,239000000,223125000,4042543104,4042543104,56000,55562.5
dohnuts,vision_protocol_text_3q,3,11,15.765003015985712,"[3, 43]",1.6506800651550293,1.73828125,1.6608247756958008,1.73828125,21.785888671875,23.984375,3302903808,3302903808,88,81.375,239000000,223125000,4042543104,4042543104,56000,55562.5
dohnuts,vision_protocol_text_3q,3,12,15.483721974305809,"[3, 43]",1.6506800651550293,1.73828125,1.6608247756958008,1.73828125,21.785888671875,23.984375,3302903808,3302903808,88,81.375,239000000,223125000,4042543104,4042543104,56000,55562.5
dohnuts,vision_protocol_text_3q,3,13,15.796071995282546,"[3, 43]",1.6506800651550293,1.73828125,1.6608247756958008,1.73828125,21.785888671875,23.984375,3302903808,3302903808,88,81.375,239000000,223125000,4042543104,4042543104,56000,55562.5
dohnuts,vision_protocol_text_3q,3,14,15.765853982884437,"[3, 43]",1.6506800651550293,1.73828125,1.6608247756958008,1.73828125,21.785888671875,23.984375,3302903808,3302903808,88,81.375,239000000,223125000,4042543104,4042543104,56000,55562.5
dohnuts,vision_protocol_text_3q,3,15,15.786322997882962,"[3, 43]",1.6506800651550293,1.73828125,1.6608247756958008,1.73828125,21.785888671875,23.984375,3302903808,3302903808,88,81.375,239000000,223125000,4042543104,4042543104,56000,55562.5
