run,dataset,calibration,selected_step,lower,upper,n,confidence,accuracy
seed-42,clevr_attribute,uncalibrated,2800,0.4,0.4666666666666667,0,,
seed-42,clevr_attribute,uncalibrated,2800,0.4666666666666667,0.5333333333333333,13,0.5188652820075448,0.6153846153846154
seed-42,clevr_attribute,uncalibrated,2800,0.5333333333333333,0.6,14,0.5659265666472432,0.42857142857142855
seed-42,clevr_attribute,uncalibrated,2800,0.6,0.6666666666666666,18,0.632597767684445,0.4444444444444444
seed-42,clevr_attribute,uncalibrated,2800,0.6666666666666666,0.7333333333333333,14,0.7026599437505494,0.35714285714285715
seed-42,clevr_attribute,uncalibrated,2800,0.7333333333333333,0.8,20,0.762361260252008,0.7
seed-42,clevr_attribute,uncalibrated,2800,0.8,0.8666666666666667,30,0.8382067413659502,0.7
seed-42,clevr_attribute,uncalibrated,2800,0.8666666666666667,0.9333333333333333,57,0.9020994450089902,0.47368421052631576
seed-42,clevr_attribute,uncalibrated,2800,0.9333333333333333,1.0,53568,0.9999123687163063,0.9906100657108722
seed-42,clevr_count,uncalibrated,2800,0.0,0.06666666666666667,0,,
seed-42,clevr_count,uncalibrated,2800,0.06666666666666667,0.13333333333333333,0,,
seed-42,clevr_count,uncalibrated,2800,0.13333333333333333,0.2,0,,
seed-42,clevr_count,uncalibrated,2800,0.2,0.26666666666666666,0,,
seed-42,clevr_count,uncalibrated,2800,0.26666666666666666,0.3333333333333333,0,,
seed-42,clevr_count,uncalibrated,2800,0.3333333333333333,0.4,5,0.37522426303518297,0.0
seed-42,clevr_count,uncalibrated,2800,0.4,0.4666666666666667,14,0.44142373685684805,0.5
seed-42,clevr_count,uncalibrated,2800,0.4666666666666667,0.5333333333333333,200,0.5133833676575604,0.355
seed-42,clevr_count,uncalibrated,2800,0.5333333333333333,0.6,336,0.5667045158123857,0.44345238095238093
seed-42,clevr_count,uncalibrated,2800,0.6,0.6666666666666666,327,0.6335196265474649,0.4525993883792049
seed-42,clevr_count,uncalibrated,2800,0.6666666666666666,0.7333333333333333,389,0.7007716856077636,0.4704370179948586
seed-42,clevr_count,uncalibrated,2800,0.7333333333333333,0.8,437,0.7670860204638853,0.5034324942791762
seed-42,clevr_count,uncalibrated,2800,0.8,0.8666666666666667,564,0.8348127002578948,0.5106382978723404
seed-42,clevr_count,uncalibrated,2800,0.8666666666666667,0.9333333333333333,894,0.9025989700120207,0.5425055928411633
seed-42,clevr_count,uncalibrated,2800,0.9333333333333333,1.0,32256,0.9980367584694096,0.9371899801587301
seed-42,clevr_exist,uncalibrated,2800,0.0,0.06666666666666667,0,,
seed-42,clevr_exist,uncalibrated,2800,0.06666666666666667,0.13333333333333333,0,,
seed-42,clevr_exist,uncalibrated,2800,0.13333333333333333,0.2,0,,
seed-42,clevr_exist,uncalibrated,2800,0.2,0.26666666666666666,0,,
seed-42,clevr_exist,uncalibrated,2800,0.26666666666666666,0.3333333333333333,0,,
seed-42,clevr_exist,uncalibrated,2800,0.3333333333333333,0.4,0,,
seed-42,clevr_exist,uncalibrated,2800,0.4,0.4666666666666667,0,,
seed-42,clevr_exist,uncalibrated,2800,0.4666666666666667,0.5333333333333333,0,,
seed-42,clevr_exist,uncalibrated,2800,0.5333333333333333,0.6,8,0.5583089759799773,0.75
seed-42,clevr_exist,uncalibrated,2800,0.6,0.6666666666666666,5,0.6270013459007403,0.6
seed-42,clevr_exist,uncalibrated,2800,0.6666666666666666,0.7333333333333333,4,0.7070491936145202,0.25
seed-42,clevr_exist,uncalibrated,2800,0.7333333333333333,0.8,10,0.7766972531716678,0.5
seed-42,clevr_exist,uncalibrated,2800,0.8,0.8666666666666667,12,0.8319465300795653,0.6666666666666666
seed-42,clevr_exist,uncalibrated,2800,0.8666666666666667,0.9333333333333333,16,0.907730527547603,0.5
seed-42,clevr_exist,uncalibrated,2800,0.9333333333333333,1.0,20141,0.99995528874886,0.986942058487662
seed-42,contract_nli,uncalibrated,2800,0.0,0.06666666666666667,0,,
seed-42,contract_nli,uncalibrated,2800,0.06666666666666667,0.13333333333333333,0,,
seed-42,contract_nli,uncalibrated,2800,0.13333333333333333,0.2,0,,
seed-42,contract_nli,uncalibrated,2800,0.2,0.26666666666666666,0,,
seed-42,contract_nli,uncalibrated,2800,0.26666666666666666,0.3333333333333333,0,,
seed-42,contract_nli,uncalibrated,2800,0.3333333333333333,0.4,1,0.34779936877332585,0.0
seed-42,contract_nli,uncalibrated,2800,0.4,0.4666666666666667,12,0.4375921423331092,0.3333333333333333
seed-42,contract_nli,uncalibrated,2800,0.4666666666666667,0.5333333333333333,16,0.5096705854004047,0.5
seed-42,contract_nli,uncalibrated,2800,0.5333333333333333,0.6,15,0.5609604360505074,0.6666666666666666
seed-42,contract_nli,uncalibrated,2800,0.6,0.6666666666666666,35,0.6362655358612552,0.7142857142857143
seed-42,contract_nli,uncalibrated,2800,0.6666666666666666,0.7333333333333333,29,0.7011157230985764,0.3793103448275862
seed-42,contract_nli,uncalibrated,2800,0.7333333333333333,0.8,37,0.7697455858526007,0.6216216216216216
seed-42,contract_nli,uncalibrated,2800,0.8,0.8666666666666667,46,0.833633103493393,0.6521739130434783
seed-42,contract_nli,uncalibrated,2800,0.8666666666666667,0.9333333333333333,72,0.9048265598345299,0.625
seed-42,contract_nli,uncalibrated,2800,0.9333333333333333,1.0,910,0.9920457108595736,0.9318681318681319
seed-42,emotion,uncalibrated,2800,0.0,0.06666666666666667,0,,
seed-42,emotion,uncalibrated,2800,0.06666666666666667,0.13333333333333333,0,,
seed-42,emotion,uncalibrated,2800,0.13333333333333333,0.2,0,,
seed-42,emotion,uncalibrated,2800,0.2,0.26666666666666666,1,0.2585602205938982,0.0
seed-42,emotion,uncalibrated,2800,0.26666666666666666,0.3333333333333333,5,0.3079377744608851,0.2
seed-42,emotion,uncalibrated,2800,0.3333333333333333,0.4,31,0.36633544839401755,0.3225806451612903
