run,step,dataset,accuracy,soft_accuracy,nll,brier_sum,brier_per_candidate,schema_pass_rate,n,macro_f1,ece_15,score_mae,rps
seed-42,800,vqav2_yesno,0.859375,0.8133897569444445,0.4148110893663985,0.12075163710696639,0.060375818553483195,1.0,256,0.8589531680440772,0.10471320563710447,,
seed-42,800,wikiqa,0.94140625,0.94140625,1.019238724654794,0.11242617362181331,0.05621308681090666,1.0,256,0.5436720142602496,0.05712807875623873,,
seed-42,800,xnli_en,0.79296875,0.79296875,0.5720110198527231,0.29938119763295323,0.09979373254431775,1.0,256,0.7868028535053145,0.10153480581366034,,
seed-42,800,xnli_zh,0.765625,0.765625,0.7813326675560308,0.3709789342372273,0.12365964474574243,1.0,256,0.7595808357197938,0.11428659249946224,,
seed-42,1200,ag_news,0.87109375,0.87109375,0.8335614475794786,0.22669677506627522,0.056674193766568806,1.0,256,0.8690946640566495,0.1000299242207072,,
seed-42,1200,aokvqa,0.828125,0.828125,0.49323058211162146,0.24204036629977643,0.06051009157494411,1.0,256,,0.05487061345186931,,
seed-42,1200,banking77,0.6484375,0.6484375,1.3424661569356207,0.4946649217568369,0.006424219763075804,1.0,256,0.623070707070707,0.09157430040698082,,
seed-42,1200,boolq,0.8671875,0.8671875,0.51060722120999,0.22224432224215868,0.11112216112107934,1.0,256,0.8550782550782551,0.09867999371699407,,
seed-42,1200,clevr_attribute,0.9921875,0.9921875,0.12405008166068278,0.015377073376669164,0.0035497385515094377,1.0,256,,0.007585508226381821,,
seed-42,1200,clevr_count,0.8203125,0.8203125,0.4477880238203264,0.22098207915875284,0.02008927992352299,1.0,256,0.4688482902768617,0.056708866977522754,0.22312887408331913,0.014481337923591133
seed-42,1200,clevr_exist,0.98046875,0.98046875,0.30725888728294126,0.038551045928747966,0.019275522964373983,1.0,256,0.9804182538589808,0.019386329885269893,,
seed-42,1200,contract_nli,0.7890625,0.7890625,0.6768538098223909,0.34659581921035,0.11553193973678334,1.0,256,0.7018432244150438,0.14848457605194287,,
seed-42,1200,emotion,0.7421875,0.7421875,0.8485488616503649,0.39894341653818566,0.06649056942303094,1.0,256,0.6709756630444464,0.13777852512646363,,
seed-42,1200,esci_es,0.55078125,0.55078125,1.0037896757400233,0.549595525566511,0.13739888139162776,1.0,256,0.4838012299036404,0.08974782781952817,,
seed-42,1200,esci_jp,0.5859375,0.5859375,0.9701548313553578,0.5473608715849797,0.13684021789624493,1.0,256,0.5136613603951661,0.060925106316708846,,
seed-42,1200,esci_us,0.51953125,0.51953125,1.0508527556910652,0.5994253264814686,0.14985633162036716,1.0,256,0.49304926073644345,0.057584280972042705,,
seed-42,1200,mail_phishing,0.98046875,0.98046875,0.38457590204513054,0.03670225921320426,0.01835112960660213,1.0,256,0.9804612965761474,0.01888669547249082,,
seed-42,1200,mail_spam,0.95703125,0.95703125,0.7563354802654392,0.08695654547352503,0.04347827273676252,1.0,256,0.9498280684875372,0.04437149426480263,,
seed-42,1200,massive_en-US,0.7578125,0.7578125,1.0450322374088317,0.3227773265214236,0.005379622108690393,1.0,256,0.6499568972744352,0.08200159744264249,,
seed-42,1200,massive_zh-CN,0.7265625,0.7265625,0.9559502520128325,0.37859286782374696,0.0063098811303957825,1.0,256,0.6306402166702552,0.06359787644398514,,
seed-42,1200,scienceqa,0.90234375,0.90234375,0.43769712648365433,0.17215594782308094,0.06092403949091066,1.0,256,,0.08196604151009312,,
seed-42,1200,screenqa_choice,0.19921875,0.19921875,2.5719628005499886,0.8790036570313331,0.04922202591458012,1.0,256,,0.09124450615871581,,
seed-42,1200,screenqa_noul,0.59765625,0.59765625,0.7907722270784749,0.5437202367776901,0.27186011838884505,1.0,256,0.5810280448081353,0.18023086702786506,,
seed-42,1200,sharc,0.6640625,0.6640625,0.8565980463993096,0.47918068730666424,0.11979517182666606,1.0,256,0.706086487833664,0.13461342002793059,,
seed-42,1200,sms_spam,0.9765625,0.9765625,0.5227211000675748,0.046856349274932804,0.023428174637466402,1.0,256,0.9416679325535471,0.023432834395542446,,
seed-42,1200,typed_decisions,0.6640625,0.5406445188867769,1.031935304403584,0.13531856367077832,0.04246374821600653,1.0,256,,0.08457754646513566,0.3348618190018265,0.037578466929620996
seed-42,1200,vqav2_yesno,0.86328125,0.8164279513888889,0.4521830256308133,0.12681228956006405,0.06340614478003202,1.0,256,0.8623550195867578,0.05043264532531175,,
seed-42,1200,wikiqa,0.9453125,0.9453125,0.8254687928775917,0.10488001127747493,0.052440005638737464,1.0,256,0.6357723577235772,0.05326979151863184,,
seed-42,1200,xnli_en,0.8359375,0.8359375,0.45542170467238213,0.2457745297568335,0.08192484325227783,1.0,256,0.8285425101214575,0.046265090707706444,,
seed-42,1200,xnli_zh,0.78125,0.78125,0.5841702979389778,0.3188511004300437,0.10628370014334793,1.0,256,0.7768162330559787,0.06061876391730463,,
seed-42,1600,ag_news,0.875,0.875,0.9915459848231967,0.21869184379480416,0.05467296094870104,1.0,256,0.8731357799638667,0.10968645813495811,,
seed-42,1600,aokvqa,0.84375,0.84375,0.5218694523332533,0.24335475727768296,0.06083868931942074,1.0,256,,0.0746427441248847,,
