run,dataset,calibration,selected_step,accuracy,soft_accuracy,nll,brier_sum,brier_per_candidate,schema_pass_rate,n,macro_f1,ece_15,score_mae,rps
seed-42,massive_zh-CN,uncalibrated,2800,0.7682300581992468,0.7682300581992468,0.8800797808836082,0.34061708722307377,0.005676951453717896,1.0,2921,0.6991569876683565,0.06635323017522718,,
seed-42,scienceqa,uncalibrated,2800,0.9266236985622212,0.9266236985622212,0.2941911533386933,0.11830537451811571,0.04846749118779297,1.0,2017,,0.04892034458584266,,
seed-42,screenqa_choice,uncalibrated,2800,0.2205188679245283,0.2205188679245283,2.3429332215274936,0.855316927887919,0.05032054237171572,1.0,848,,0.046401431596434804,,
seed-42,screenqa_noul,uncalibrated,2800,0.723463687150838,0.723463687150838,0.5747320845247357,0.3868876681683471,0.19344383408417354,1.0,2148,0.7234231648641689,0.03413927240056198,,
seed-42,sharc,uncalibrated,2800,0.7318753020782987,0.7318753020782987,0.6670658468166872,0.37819960532388586,0.09454990133097146,1.0,8276,0.7705192712432385,0.0704658777267344,,
seed-42,sms_spam,uncalibrated,2800,0.9937027707808564,0.9937027707808564,0.09098113619700231,0.01259227988762284,0.00629613994381142,1.0,794,0.9875139563774749,0.006227248620025216,,
seed-42,typed_decisions,uncalibrated,2800,0.7305,0.5887607963042135,0.9067777166876804,0.07211989670444026,0.021058312909481854,1.0,2000,,0.1073491014877963,0.26280929947757675,0.018746043943173953
seed-42,vqav2_yesno,uncalibrated,2800,0.8588002962231548,0.8230884594436805,0.39623035299764475,0.11491734257247545,0.057458671286237724,1.0,8102,0.858430650708784,0.024830886814875563,,
seed-42,wikiqa,uncalibrated,2800,0.9616883116883117,0.9616883116883117,0.48444901418963476,0.07464301437721096,0.03732150718860548,1.0,6160,0.7357368886406999,0.037417417901293715,,
seed-42,xnli_en,uncalibrated,2800,0.872030345378319,0.872030345378319,0.36017025657572754,0.19237069856700642,0.06412356618900213,1.0,5009,0.8720166067880751,0.030717519472498574,,
seed-42,xnli_zh,uncalibrated,2800,0.7819924136554203,0.7819924136554203,0.5985674706626084,0.32333030634985793,0.107776768783286,1.0,5009,0.7827065653679757,0.08241360863882816,,
seed-42,ag_news,calibrated,2800,0.9003947368421052,0.9003947368421052,0.5378252932357156,0.1680214105823418,0.04200535264558545,1.0,7600,0.9002771996545019,0.07102136003334382,,
seed-42,aokvqa,calibrated,2800,0.836555360281195,0.836555360281195,0.4746177835013932,0.23016514094868692,0.05754128523717173,1.0,1138,,0.05125531142084379,,
seed-42,banking77,calibrated,2800,0.737012987012987,0.737012987012987,1.171088974120366,0.4224617666083452,0.0054865164494590285,1.0,3080,0.7276599101009442,0.20008178500186463,,
seed-42,boolq,calibrated,2800,0.8770642201834863,0.8770642201834863,0.3287795795856472,0.1957784064755297,0.09788920323776484,1.0,3270,0.8686855085157529,0.06477366813521422,,
seed-42,clevr_attribute,calibrated,2800,0.9892060892544757,0.9892060892544757,0.1229589807918349,0.020061976497157512,0.0071759917553753105,1.0,53734,,0.009499805363434479,,
seed-42,clevr_count,calibrated,2800,0.8972107729659533,0.8972107729659533,0.26523701493112845,0.14130425185785636,0.012845841077986943,1.0,35422,0.6193295437617965,0.0076819301623185,0.16082463101362937,0.007979518574824986
seed-42,clevr_exist,calibrated,2800,0.9857892652010299,0.9857892652010299,0.09554288531445619,0.02617041508484465,0.013085207542422326,1.0,20196,0.9857850203116877,0.012661388517088753,,
seed-42,contract_nli,calibrated,2800,0.855924978687127,0.855924978687127,0.4019595937288074,0.21762775299178722,0.07254258433059574,1.0,1173,0.8130575071839766,0.03379894330432749,,
seed-42,emotion,calibrated,2800,0.77,0.77,0.6812128758961458,0.33842992403736694,0.05640498733956116,1.0,2000,0.6980996095359879,0.04884816295676358,,
seed-42,esci_es,calibrated,2800,0.6025641025641025,0.6025641025641025,0.9775087548424665,0.5343668591359396,0.1335917147839849,1.0,1482,0.5461199135638269,0.12656672070986014,,
seed-42,esci_jp,calibrated,2800,0.6380894060012248,0.6380894060012248,0.9530649468835718,0.5204654372953649,0.13011635932384122,1.0,1633,0.5375069457021375,0.14096629987392928,,
seed-42,esci_us,calibrated,2800,0.5764192139737991,0.5764192139737991,0.971212014186267,0.5459076323494453,0.13647690808736132,1.0,1145,0.5151070218716626,0.08684556659660043,,
seed-42,mail_phishing,calibrated,2800,0.9895238095238095,0.9895238095238095,0.046737454593491594,0.017826947845392568,0.008913473922696284,1.0,1050,0.9890916200030411,0.009418265177487995,,
seed-42,mail_spam,calibrated,2800,0.9894613583138173,0.9894613583138173,0.058027260834212654,0.020320711708529556,0.010160355854264778,1.0,854,0.9865185094235374,0.009782987339476917,,
