unix_time,board_vram_bytes,gpu_busy_percent,power_microwatts,temperature_millidegrees,rss_bytes
1790304597.6788378,22557229056,0,117712000,50000,15137255424
1790304598.6796288,22557229056,0,86062000,47000,15139221504
1790304599.6803658,22557229056,0,68040000,46000,15139225600
1790304600.6811779,22557229056,0,97946000,47000,15139225600
1790304601.6819432,22557229056,100,208384000,48000,15140417536
1790304602.6827774,22557229056,0,87068000,47000,15140405248
1790304603.6836414,22557229056,0,101263000,47000,15160446976
1790304604.6843386,22557229056,0,85889000,46000,15160446976
1790304605.6847243,22557229056,0,69790000,46000,15160446976
1790304606.6854033,22557229056,0,62330000,45000,15162023936
1790304607.6860738,22557229056,0,54965000,45000,15162023936
1790304608.6870005,22557229056,0,70543000,45000,15162023936
1790304609.6877365,22557229056,0,86219000,46000,15162019840
1790304610.688473,22557229056,0,130702000,53000,15162036224
1790304611.7056003,22557229056,13,176740000,47000,15162060800
1790304612.7065456,22557229056,0,123158000,46000,15162032128
1790304613.7072468,22557229056,0,149524000,50000,15162097664
1790304614.7083704,22557229056,0,119759000,46000,15162163200
1790304615.7093043,22557229056,49,122002000,51000,15162183680
1790304616.7106524,22557229056,0,104521000,45000,15169605632
1790304617.7115023,22557229056,0,99360000,47000,15169605632
1790304618.7121565,22557229056,0,94094000,45000,15169609728
1790304619.713043,22557229056,2,137185000,51000,15169564672
1790304620.7144954,22557229056,100,351099000,55000,15169581056
1790304621.7152736,22557229056,86,350313000,53000,15169622016
1790304622.7166803,22557229056,21,145631000,47000,15169593344
1790304623.7187676,22557229056,85,199699000,46000,15169605632
1790304624.7197888,22557229056,0,188185000,46000,15169609728
1790304625.7208498,22557229056,100,356742000,59000,15171710976
1790304626.7217283,22557229056,36,330441000,59000,15171710976
1790304627.722622,22557229056,84,350599000,60000,15171719168
1790304628.7233386,22557229056,100,369572000,57000,15171723264
1790304629.7239969,22557229056,100,347514000,58000,15171723264
1790304630.724966,22557229056,91,306621000,50000,15171719168
1790304631.7257383,22557229056,5,174406000,49000,15172595712
1790304632.7265632,22557229056,0,78444000,48000,15175016448
1790304633.7271624,22557229056,100,297991000,51000,15175069696
1790304634.727876,22557229056,76,165535000,54000,15175077888
1790304635.7288518,22557229056,71,208074000,50000,15175675904
1790304636.7296674,22557229056,100,257071000,57000,15175684096
1790304637.7305608,22557229056,100,251304000,49000,15179907072
1790304638.733869,22557229056,0,84161000,50000,15181107200
1790304639.7347267,22557229056,94,119121000,48000,15189782528
1790304640.735497,22557229056,0,86555000,47000,15189782528
1790304641.7361777,22557229056,0,69620000,46000,15189782528
1790304642.7368538,22557229056,0,62221000,46000,15209414656
1790304643.7376256,22557229056,0,54857000,45000,15209414656
1790304644.738569,22559326208,0,73643000,46000,15209422848
1790304645.739308,22559326208,0,87062000,46000,15209385984
1790304646.7400215,22559326208,0,101272000,46000,15209549824
1790304647.740779,22559326208,100,294998000,56000,15209549824
1790304648.7422316,22559326208,100,328795000,49000,15209566208
1790304649.9302883,22559326208,92,201353000,47000,15209566208
1790304650.9309776,22559326208,83,237051000,60000,15209566208
1790304651.931605,22559326208,100,303843000,48000,15209603072
1790304652.9322982,22559326208,0,85909000,47000,15209594880
1790304653.9332008,22559326208,0,100741000,47000,15218450432
1790304654.933742,22559326208,0,85595000,46000,15218450432
1790304655.934615,22559326208,0,68565000,45000,15218450432
1790304656.9353037,22559326208,0,61677000,45000,15218450432
1790304657.9359417,22559326208,0,54991000,45000,15218450432
1790304658.9366233,22559326208,0,66989000,45000,15218450432
1790304659.937508,22559326208,0,68634000,45000,15218417664
1790304660.938468,22559326208,99,225432000,56000,15218425856
1790304661.9679801,22559326208,89,372362000,59000,15218425856
1790304662.968446,22559326208,68,324816000,58000,15218458624
1790304663.9691982,22559326208,5,278111000,57000,15218429952
1790304664.9700172,22559326208,100,383199000,58000,15218470912
1790304665.9706652,22559326208,3,209307000,47000,15218475008
1790304666.9711862,22559326208,0,86420000,47000,15218475008
1790304667.971904,22559326208,19,105067000,47000,15231602688
1790304668.9723551,22559326208,0,86290000,46000,15231602688
1790304669.972766,22559326208,0,64541000,45000,15231602688
1790304670.9735112,22559326208,0,59474000,45000,15232065536
1790304671.9743068,22559326208,0,55487000,44000,15232065536
1790304672.9749477,22571909120,0,69930000,45000,15232073728
1790304673.975455,22571909120,0,83709000,46000,15232036864
1790304674.976433,22571909120,99,113053000,51000,15232053248
1790304675.977009,22571909120,75,190249000,47000,15232102400
1790304676.9777167,22571909120,0,136857000,46000,15232098304
1790304677.9783518,22571909120,0,143779000,49000,15233634304
1790304678.9789968,22571909120,0,116782000,46000,15233597440
1790304680.02275,22571909120,57,108925000,49000,15233626112
1790304681.023568,22571909120,69,113493000,45000,15242592256
1790304682.0243359,22571909120,0,105269000,47000,15242711040
1790304683.034306,22571909120,0,107797000,44000,15242690560
1790304684.0348337,22571909120,78,124055000,53000,15242665984
1790304685.035352,22571909120,100,352511000,56000,15242686464
1790304686.0358448,22571909120,100,255238000,46000,15245062144
1790304687.0364506,22571909120,100,240683000,49000,15245701120
1790304688.0375578,22571909120,100,232498000,47000,15246135296
1790304689.0386834,22571909120,89,185726000,46000,15246958592
1790304690.0395954,22571909120,89,234908000,55000,15248084992
1790304691.0402122,22571909120,31,204595000,47000,15248121856
1790304692.040829,22571909120,100,234104000,47000,15256543232
1790304693.0415168,22571909120,0,70299000,46000,15256567808
1790304694.0422244,22571909120,0,113423000,47000,15279849472
1790304695.0426524,22571909120,0,86894000,45000,15279849472
1790304696.043016,22571909120,0,68087000,44000,15279849472
1790304697.043707,22571909120,0,61399000,44000,15284178944
1790304698.0444808,22571909120,0,54889000,43000,15284178944
