run,primitive,candidates,accuracy,soft_accuracy,nll,brier_sum,brier_per_candidate,schema_pass_rate,n,ece_15,score_mae,rps
seed-42,choice,18,0.28125,0.28125,2.29725261860506,0.8575219000652051,0.04764010555917807,1.0,32,0.16334385206545812,,
seed-42,choice,19,0.25,0.25,2.5711843848992824,0.9075276973819282,0.047764615651680435,1.0,24,0.13556041326379645,,
seed-42,choice,20,0.17647058823529413,0.17647058823529413,2.643289991729344,0.9042995009355956,0.045214975046779786,1.0,34,0.1347994021360595,,
seed-42,choice,21,0.17073170731707318,0.17073170731707318,2.6337262941802506,0.9026442843923012,0.042983061161538154,1.0,41,0.05977237610229587,,
seed-42,choice,22,0.10810810810810811,0.10810810810810811,2.6915209062597647,0.9201521759426589,0.0418250989064845,1.0,37,0.06416575615750945,,
seed-42,choice,23,0.06896551724137931,0.06896551724137931,2.6806257171882777,0.910101631788345,0.03956963616471066,1.0,29,0.09850254512845526,,
seed-42,choice,24,0.20689655172413793,0.20689655172413793,2.6131498445231136,0.905306226082838,0.037721092753451584,1.0,29,0.15790576875825577,,
seed-42,choice,25,0.0851063829787234,0.0851063829787234,2.8510785308071873,0.9276342680238722,0.037105370720954885,1.0,47,0.02726304012990778,,
seed-42,choice,26,0.22727272727272727,0.22727272727272727,2.587436422571464,0.8887804279011692,0.03418386261158343,1.0,22,0.12786778073052746,,
seed-42,choice,27,0.42857142857142855,0.42857142857142855,2.7846731663623614,0.8992224838955876,0.03330453644057732,1.0,14,0.3288006932813621,,
seed-42,choice,28,0.25,0.25,2.7315815730606716,0.9044662898810244,0.03230236749575087,1.0,28,0.15721021693369208,,
seed-42,choice,29,0.21739130434782608,0.21739130434782608,2.8866351295225594,0.9224408492462786,0.0318083051464234,1.0,23,0.1601121692760146,,
seed-42,choice,30,0.2631578947368421,0.2631578947368421,2.9988343043941468,0.9305589891676797,0.031018632972255985,1.0,19,0.1869270548698359,,
seed-42,choice,31,0.10526315789473684,0.10526315789473684,2.814377889759854,0.9090868238216415,0.029325381413601338,1.0,19,0.07349725844405325,,
seed-42,choice,32,0.10526315789473684,0.10526315789473684,2.8518055995918643,0.9146838081293278,0.028583869004041494,1.0,19,0.0729704646503216,,
seed-42,choice,33,0.0625,0.0625,2.973087662241011,0.9321062052789717,0.028245642584211257,1.0,16,0.04603273292653928,,
seed-42,choice,34,0.15,0.15,3.233931659518909,0.948830993595615,0.027906793929282785,1.0,20,0.10299551146158827,,
seed-42,choice,35,0.09090909090909091,0.09090909090909091,3.337672975710616,0.9588919947937563,0.027396914136964465,1.0,11,0.07542953307168583,,
seed-42,choice,36,0.0,0.0,3.387043574605443,0.9589502744697154,0.026637507624158764,1.0,7,0.07219495355840203,,
seed-42,choice,37,0.125,0.125,2.758385080730191,0.9046112469497993,0.02444895262026485,1.0,8,0.05926034843483791,,
seed-42,choice,38,0.25,0.25,3.053486482412973,0.931975672433428,0.02452567559035337,1.0,4,0.26956248122037846,,
seed-42,choice,60,0.778645391274826,0.778645391274826,0.8245162185023368,0.3337470403750083,0.005562450672916806,1.0,5891,0.10235162687372702,,
seed-42,choice,77,0.737012987012987,0.737012987012987,1.171088974120366,0.4224617666083452,0.0054865164494590285,1.0,3080,0.20008178500186463,,
seed-42,noul,2,0.935215639042016,0.9272384081718789,0.2259889094946566,0.09222301885975615,0.04611150942987807,1.0,43174,0.05731006275466986,,
seed-42,score,4,0.7028571428571428,0.5332652897724232,1.2184933757374172,0.1537944760377076,0.0384486190094269,1.0,700,0.37783883222536485,0.5318506053106106,0.055094656226068905
seed-42,score,5,0.66,0.438899984800096,1.452467746479911,0.11403541271520273,0.022807082543040546,1.0,100,0.39618096659257146,0.4780998463015427,0.03322779279746135
seed-42,score,11,0.8972107729659533,0.8972107729659533,0.26523701493112845,0.14130425185785636,0.012845841077986943,1.0,35422,0.0076819301623185,0.16082463101362937,0.007979518574824986
